time,mean_G
1032,16.458
1033,16.43
1034,16.414
1035,16.422
1036,16.448
1037,16.438
1038,16.41
1039,16.416
1040,16.38
1041,16.368
1042,16.364
1043,16.368
1044,16.358
1045,16.41
1046,16.406
1047,16.45
1048,16.462
1049,16.472
1050,16.466
1051,16.424
1052,16.412
1053,16.4
1054,16.412
1055,16.394
1056,16.376
1057,16.366
1058,16.37
1059,16.41
1060,16.442
1061,16.44
1062,16.48
1063,16.454
1064,16.428
1065,16.414
1066,16.41
1067,16.368
1068,16.378
1069,16.384
1070,16.4
1071,16.356
1072,16.358
1073,16.378
1074,16.36
1075,16.384
1076,16.398
1077,16.396
1078,16.402
1079,16.412
1080,16.456
1081,16.434
1082,16.398
1083,16.362
1084,16.382
1085,16.352
1086,16.348
1087,16.392
1088,16.394
1089,16.422
1090,16.42
1091,16.422
1092,16.424
1093,16.422
1094,16.402
1095,16.406
1096,16.404
1097,16.356
1098,16.34
1099,16.324
1100,16.34
1101,16.348
1102,16.374
1103,16.36
1104,16.352
1105,16.362
1106,16.312
1107,16.318
1108,16.248
1109,16.224
1110,16.238
1111,16.258
1112,16.28
1113,16.266
1114,16.236
1115,16.256
1116,16.264
1117,16.258
1118,16.266
1119,16.272
1120,16.32
1121,16.336
1122,16.312
1123,16.312
1124,16.334
1125,16.342
1126,16.372
1127,16.382
1128,16.378
1129,16.408
1130,16.428
1131,16.418
1132,16.438
1133,16.404
1134,16.408
1135,16.43
1136,16.414
1137,16.402
1138,16.372
1139,16.34
1140,16.326
1141,16.35
1142,16.376
1143,16.382
1144,16.398
1145,16.428
1146,16.43
1147,16.432
1148,16.412
1149,16.398
1150,16.43
1151,16.41
1152,16.42
1153,16.494
1154,16.466
1155,16.454
1156,16.448
1157,16.436
1158,16.458
1159,16.458
1160,16.468
1161,16.498
1162,16.476
1163,16.486
1164,16.51
1165,16.518
1166,16.508
1167,16.474
1168,16.504
1169,16.55
1170,16.524
1171,16.526
1172,16.546
1173,16.532
1174,16.556
1175,16.556
1176,16.606
1177,16.624
1178,16.662
1179,16.648
1180,16.658
1181,16.698
1182,16.71
1183,16.688
1184,16.662
1185,16.694
1186,16.658
1187,16.64
1188,16.678
1189,16.672
1190,16.698
1191,16.65
1192,16.638
1193,16.6
1194,16.602
1195,16.656
1196,16.676
1197,16.66
1198,16.636
1199,16.652
1200,16.642
1201,16.644
1202,16.65
1203,16.65
1204,16.662
1205,16.68
1206,16.736
1207,16.724
1208,16.688
1209,16.668
1210,16.73
1211,16.74
1212,16.744
1213,16.758
1214,16.74
1215,16.734
1216,16.728
1217,16.73
1218,16.752
1219,16.738
1220,16.758
1221,16.768
1222,16.734
1223,16.758
1224,16.716
1225,16.68
1226,16.712
1227,16.7
1228,16.716
1229,16.748
1230,16.728
1231,16.716
1232,16.696
1233,16.716
1234,16.734
1235,16.716
1236,16.666
1237,16.68
1238,16.692
1239,16.678
1240,16.672
1241,16.672
1242,16.652
1243,16.682
1244,16.644
1245,16.656
1246,16.654
1247,16.65
1248,16.6
1249,16.592
1250,16.576
1251,16.532
1252,16.548
1253,16.556
1254,16.556
1255,16.516
1256,16.5
1257,16.534
1258,16.534
1259,16.53
1260,16.576
1261,16.61
1262,16.616
1263,16.644
1264,16.622
1265,16.66
1266,16.678
1267,16.712
1268,16.726
1269,16.728
1270,16.716
1271,16.66
1272,16.724
1273,16.702
1274,16.722
1275,16.732
1276,16.748
1277,16.736
1278,16.744
1279,16.778
1280,16.788
1281,16.832
1282,16.824
1283,16.842
1284,16.842
1285,16.81
1286,16.814
1287,16.78
1288,16.784
1289,16.82
1290,16.834
1291,16.848
1292,16.836
1293,16.834
1294,16.842
1295,16.894
1296,16.896
1297,16.902
1298,16.892
1299,16.95
1300,16.99
1301,16.988
1302,17.014
1303,17.028
1304,17.026
1305,16.974
1306,16.958
1307,16.964
1308,16.95
1309,16.918
1310,16.888
1311,16.874
1312,16.86
1313,16.856
1314,16.836
1315,16.822
1316,16.8
1317,16.766
1318,16.776
1319,16.77
1320,16.764
1321,16.808
1322,16.772
1323,16.75
1324,16.768
1325,16.746
1326,16.718
1327,16.684
1328,16.684
1329,16.728
1330,16.732
1331,16.772
1332,16.786
1333,16.76
1334,16.766
1335,16.776
1336,16.81
1337,16.794
1338,16.792
1339,16.804
1340,16.814
1341,16.804
1342,16.782
1343,16.802
1344,16.796
1345,16.802
1346,16.74
1347,16.766
1348,16.768
1349,16.762
1350,16.754
1351,16.722
1352,16.722
1353,16.744
1354,16.75
1355,16.766
1356,16.772
1357,16.758
1358,16.786
1359,16.782
1360,16.824
1361,16.824
1362,16.836
1363,16.844
1364,16.866
1365,16.826
1366,16.79
1367,16.824
1368,16.808
1369,16.768
1370,16.748
1371,16.766
1372,16.77
1373,16.802
1374,16.85
1375,16.842
1376,16.814
1377,16.796
1378,16.772
1379,16.778
1380,16.778
1381,16.806
1382,16.808
1383,16.798
1384,16.812
1385,16.784
1386,16.788
1387,16.744
1388,16.758
1389,16.818
1390,16.792
1391,16.812
1392,16.824
1393,16.804
1394,16.786
1395,16.824
1396,16.82
1397,16.86
1398,16.846
1399,16.85
1400,16.824
1401,16.81
1402,16.81
1403,16.806
1404,16.832
1405,16.806
1406,16.79
1407,16.776
1408,16.742
1409,16.744
1410,16.71
1411,16.714
1412,16.696
1413,16.736
1414,16.744
1415,16.718
1416,16.72
1417,16.718
1418,16.72
1419,16.682
1420,16.658
1421,16.656
1422,16.704
1423,16.694
1424,16.702
1425,16.704
1426,16.736
1427,16.726
1428,16.762
1429,16.78
1430,16.744
1431,16.72
1432,16.702
1433,16.708
1434,16.696
1435,16.666
1436,16.682
1437,16.686
1438,16.716
1439,16.706
1440,16.736
1441,16.782
1442,16.764
1443,16.778
1444,16.744
1445,16.744
1446,16.722
1447,16.704
1448,16.686
1449,16.666
1450,16.676
1451,16.636
1452,16.622
1453,16.606
1454,16.59
1455,16.584
1456,16.576
1457,16.594
1458,16.58
1459,16.59
1460,16.598
1461,16.604
1462,16.63
1463,16.606
1464,16.642
1465,16.626
1466,16.6
1467,16.596
1468,16.61
1469,16.598
1470,16.606
1471,16.554
1472,16.592
1473,16.62
1474,16.592
1475,16.58
1476,16.588
1477,16.562
1478,16.576
1479,16.64
1480,16.682
1481,16.678
1482,16.716
1483,16.718
1484,16.714
1485,16.752
1486,16.778
1487,16.784
1488,16.794
1489,16.79
1490,16.772
1491,16.752
1492,16.74
1493,16.73
1494,16.71
1495,16.758
1496,16.78
1497,16.742
1498,16.74
1499,16.744
1500,16.76
1501,16.746
1502,16.77
1503,16.716
1504,16.738
1505,16.726
1506,16.726
1507,16.728
1508,16.688
1509,16.698
1510,16.668
1511,16.702
1512,16.7
1513,16.686
1514,16.684
1515,16.652
1516,16.644
1517,16.582
1518,16.634
1519,16.626
1520,16.638
1521,16.616
1522,16.616
1523,16.574
1524,16.55
1525,16.556
1526,16.522
1527,16.496
1528,16.474
1529,16.472
1530,16.478
1531,16.492
1532,16.432
1533,16.474
1534,16.462
1535,16.48
1536,16.48
1537,16.47
1538,16.486
1539,16.494
1540,16.47
1541,16.502
1542,16.498
1543,16.462
1544,16.444
1545,16.462
1546,16.444
1547,16.468
1548,16.456
1549,16.472
1550,16.462
1551,16.456
1552,16.418
1553,16.43
1554,16.396
1555,16.38
1556,16.334
1557,16.31
1558,16.348
1559,16.344
1560,16.34
1561,16.368
1562,16.388
1563,16.306
1564,16.352
1565,16.374
1566,16.404
1567,16.404
1568,16.42
1569,16.474
1570,16.48
1571,16.474
1572,16.476
1573,16.494
1574,16.476
1575,16.532
1576,16.58
1577,16.608
1578,16.56
1579,16.572
1580,16.556
1581,16.486
1582,16.54
1583,16.556
1584,16.55
1585,16.544
1586,16.566
1587,16.562
1588,16.578
1589,16.592
1590,16.604
1591,16.576
1592,16.572
1593,16.588
1594,16.604
1595,16.584
1596,16.542
1597,16.52
1598,16.528
1599,16.534
1600,16.562
1601,16.572
1602,16.544
1603,16.538
1604,16.578
1605,16.588
1606,16.598
1607,16.534
1608,16.552
1609,16.552
1610,16.54
1611,16.534
1612,16.514
1613,16.5
1614,16.478
1615,16.52
1616,16.55
1617,16.52
1618,16.514
1619,16.57
1620,16.548
1621,16.478
1622,16.484
1623,16.468
1624,16.484
1625,16.526
1626,16.526
1627,16.536
1628,16.55
1629,16.556
1630,16.496
1631,16.532
1632,16.488
1633,16.476
1634,16.444
1635,16.486
1636,16.47
1637,16.466
1638,16.48
1639,16.478
1640,16.446
1641,16.442
1642,16.43
1643,16.464
1644,16.448
1645,16.436
1646,16.446
1647,16.486
1648,16.452
1649,16.436
1650,16.47
1651,16.476
1652,16.492
1653,16.486
1654,16.502
1655,16.498
1656,16.47
1657,16.416
1658,16.398
1659,16.41
1660,16.364
1661,16.334
1662,16.336
1663,16.374
1664,16.378
