time,mean_G
1028,28.758
1029,28.776
1030,28.782
1031,28.756
1032,28.812
1033,28.762
1034,28.778
1035,28.74
1036,28.704
1037,28.65
1038,28.628
1039,28.59
1040,28.548
1041,28.556
1042,28.534
1043,28.572
1044,28.566
1045,28.588
1046,28.568
1047,28.53
1048,28.546
1049,28.582
1050,28.562
1051,28.578
1052,28.668
1053,28.662
1054,28.69
1055,28.694
1056,28.686
1057,28.75
1058,28.776
1059,28.782
1060,28.724
1061,28.748
1062,28.816
1063,28.852
1064,28.858
1065,28.798
1066,28.802
1067,28.836
1068,28.908
1069,28.872
1070,28.892
1071,28.892
1072,28.912
1073,28.944
1074,28.964
1075,28.982
1076,28.964
1077,28.972
1078,28.882
1079,28.902
1080,28.922
1081,28.942
1082,28.98
1083,29.002
1084,29.032
1085,29.02
1086,29.038
1087,29.038
1088,29.06
1089,29.12
1090,29.046
1091,29.062
1092,29.13
1093,29.078
1094,29.088
1095,29.074
1096,29.054
1097,29.072
1098,29.054
1099,29.106
1100,29.122
1101,29.116
1102,29.184
1103,29.202
1104,29.16
1105,29.162
1106,29.17
1107,29.146
1108,29.16
1109,29.136
1110,29.152
1111,29.146
1112,29.068
1113,29.144
1114,29.136
1115,29.078
1116,29.052
1117,29.088
1118,29.112
1119,29.024
1120,29.002
1121,29.006
1122,29.038
1123,29.03
1124,29.03
1125,29.054
1126,29.072
1127,29.096
1128,29.122
1129,29.152
1130,29.14
1131,29.12
1132,29.11
1133,29.12
1134,29.082
1135,29.128
1136,29.15
1137,29.132
1138,29.136
1139,29.134
1140,29.094
1141,29.048
1142,29.004
1143,29.046
1144,29.09
1145,29.1
1146,29.08
1147,29.07
1148,29.106
1149,29.07
1150,29.032
1151,29.022
1152,29.038
1153,29.052
1154,29.062
1155,29.016
1156,29.056
1157,29.05
1158,29.102
1159,29.122
1160,29.108
1161,29.082
1162,29.074
1163,29.104
1164,29.194
1165,29.168
1166,29.164
1167,29.184
1168,29.166
1169,29.124
1170,29.09
1171,29.16
1172,29.21
1173,29.2
1174,29.24
1175,29.248
1176,29.238
1177,29.24
1178,29.246
1179,29.232
1180,29.254
1181,29.242
1182,29.286
1183,29.276
1184,29.318
1185,29.326
1186,29.298
1187,29.322
1188,29.304
1189,29.306
1190,29.272
1191,29.264
1192,29.298
1193,29.356
1194,29.394
1195,29.392
1196,29.386
1197,29.428
1198,29.414
1199,29.422
1200,29.486
1201,29.578
1202,29.554
1203,29.612
